"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Bill Cartwright","C",85,245,7,30,82,4,"1676",528,0,234,0,0,0,0,30,4,0,"76",18,0,12,0,0,0,0,"105.9","106.4"
"Johnny Newman","SF",79,190,1,24,77,25,"1589",620,93,204,0,0,0,0,24,4,2,"113",68,9,16,0,0,0,0,"105.9","106.4"
"Trent Tucker","SG",77,193,5,28,71,4,"1248",455,167,158,0,0,0,0,28,4,0,"71",19,13,4,0,0,0,0,"105.9","106.4"
"Pat Cummings","PF",81,230,8,31,62,9,"946",307,1,143,0,0,0,0,31,3,0,"28",5,0,11,0,0,0,0,"105.9","106.4"
"Mark Jackson","PG",73,180,0,22,82,80,"3249",1013,126,244,0,0,0,0,22,4,4,"171",60,12,13,0,0,0,0,"105.9","106.4"
"Gerald Wilkins","SG",78,185,2,24,81,78,"2703",1324,129,183,0,0,0,0,24,4,4,"149",69,4,12,0,0,0,0,"105.9","106.4"
"Rory Sparrow","PG",74,175,7,29,3,0,"52",19,1,7,0,0,0,0,"105.9","106.4"
"Sidney Green","PF",81,220,4,27,82,65,"2049",585,2,318,0,0,0,0,27,4,4,"93",17,0,14,0,0,0,0,"105.9","106.4"
"Chris McNealy","PF",79,210,2,26,19,0,"265",74,0,50,0,0,0,0,"105.9","106.4"
"Louis Orr","SF",80,175,7,29,29,0,"180",50,1,27,0,0,0,0,29,2,0,"3",1,0,0,0,0,0,0,"105.9","106.4"
"Bob Thornton","PF",82,225,2,25,7,0,"85",19,0,23,0,0,0,0,"105.9","106.4"
"Sedric Toney","PG",74,178,1,25,21,0,"139",48,14,20,0,0,0,0,25,3,0,"15",6,6,4,0,0,0,0,"105.9","106.4"
"Rick Mahorn","PF",82,240,7,29,67,64,"1963",481,2,262,0,0,0,0,29,23,21,"409",90,0,64,0,0,0,0,"110.5","105.3"
"Chuck Nevitt","C",89,217,4,28,17,0,"63",21,0,12,0,0,0,0,28,3,0,"4",2,0,1,0,0,0,0,"110.5","105.3"
"Ron Moore","C",84,260,0,26,9,0,"25",13,0,8,0,0,0,0,"110.5","105.3"
"Dennis Rodman","PF",79,210,1,26,82,32,"2147",709,17,273,0,0,0,0,26,23,0,"474",136,2,87,0,0,0,0,"110.5","105.3"
"Vinnie Johnson","SG",74,200,8,31,82,1,"1935",959,24,164,0,0,0,0,31,23,0,"477",239,7,48,0,0,0,0,"110.5","105.3"
"William Bedford","C",84,225,1,24,38,0,"298",101,0,47,0,0,0,0,"110.5","105.3"
"Darryl Dawkins","C",83,251,12,31,2,0,"7",2,0,4,0,0,0,0,"110.5","105.3"
"Isiah Thomas","PG",73,180,6,26,81,81,"2927",1341,97,217,0,0,0,0,26,23,23,"911",419,44,71,0,0,0,0,"110.5","105.3"
"Bill Laimbeer","C",83,245,7,30,82,82,"2897",923,39,284,0,0,0,0,30,23,23,"779",250,17,77,0,0,0,0,"110.5","105.3"
"Ralph Lewis","SG",78,200,0,24,50,0,"310",87,1,36,0,0,0,0,24,10,0,"17",6,1,2,0,0,0,0,"110.5","105.3"
"John Salley","C",83,230,1,23,82,16,"2003",456,0,294,0,0,0,0,23,23,0,"623",104,1,88,0,0,0,0,"110.5","105.3"
"Adrian Dantley","SF",77,208,11,31,69,50,"2144",863,2,144,0,0,0,0,31,23,23,"804",292,2,50,0,0,0,0,"110.5","105.3"
"Walker Russell","PG",77,195,5,27,1,0,"1",1,1,0,0,0,0,0,27,7,0,"10",5,0,1,0,0,0,0,"110.5","105.3"
"Joe Dumars","SG",75,190,2,24,82,82,"2732",960,19,155,0,0,0,0,24,23,23,"804",247,6,50,0,0,0,0,"110.5","105.3"
"James Edwards","C",84,225,10,32,26,2,"328",101,0,57,0,0,0,0,32,22,2,"308",110,1,55,0,0,0,0,"110.5","105.3"
"Charles Davis","SF",79,215,5,29,16,0,"187",97,15,25,0,0,0,0,"108.2","112.8"
"Walter Berry","SF",80,215,1,23,73,56,"1922",960,0,207,0,0,0,0,23,3,0,"94",50,1,10,0,0,0,0,"108.2","112.8"
"Nate Blackwell","PG",76,170,0,22,10,0,"112",41,11,16,0,0,0,0,"108.2","112.8"
"Frank Brickowski","C",81,240,3,28,70,68,"2227",805,5,275,0,0,0,0,28,3,3,"113",44,1,12,0,0,0,0,"108.2","112.8"
"Dave Greenwood","PF",81,222,8,30,45,40,"1236",328,2,134,0,0,0,0,"108.2","112.8"
"Alvin Robertson","SG",75,185,3,25,82,82,"2978",1408,95,300,0,0,0,0,25,3,3,"119",53,7,15,0,0,0,0,"108.2","112.8"
"Mike Mitchell","SF",79,215,9,32,68,20,"1501",784,12,101,0,0,0,0,32,3,3,"74",37,0,5,0,0,0,0,"108.2","112.8"
"Phil Zevenbergen","C",82,230,0,23,8,0,"58",27,0,12,0,0,0,0,23,1,0,"1",0,0,0,0,0,0,0,"108.2","112.8"
"Ed Nealy","PF",79,238,4,27,68,1,"837",109,2,94,0,0,0,0,27,2,0,"36",4,0,6,0,0,0,0,"108.2","112.8"
"Ricky Wilson","PG",75,195,0,23,18,1,"373",99,25,34,0,0,0,0,23,2,0,"9",2,0,2,0,0,0,0,"108.2","112.8"
