"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Lindsey Hunter","PG",74,170,15,38,28,0,"266",82,48,28,0,0,0,0,38,6,0,"24",3,3,3,0,0,0,0,"108.4","108.7"
"Demetris Nichols","SF",80,216,1,24,2,0,"5",4,1,1,0,0,0,0,"108.4","108.7"
"Andres Nocioni","PF",79,225,4,29,53,2,"1278",449,209,176,0,0,0,0,"108.4","108.7"
"Larry Hughes","SF",77,184,10,30,30,6,"792",308,102,51,0,0,0,0,"108.4","108.7"
"Cedric Simmons","PF",81,235,2,23,11,0,"61",21,0,6,0,0,0,0,"108.4","108.7"
"Derrick Rose","PG",75,190,0,20,81,80,"3000",1208,72,125,0,0,0,0,20,7,7,"313",120,4,25,0,0,0,0,"108.4","108.7"
"Anthony Roberson","PG",74,180,2,25,6,0,"23",17,10,0,0,0,0,0,25,1,0,"4",4,2,0,0,0,0,0,"108.4","108.7"
"Greg Oden","C",84,250,0,21,61,39,"1314",351,0,238,0,0,0,0,21,6,0,"96",21,0,27,0,0,0,0,"113.9","107.8"
"Sergio Rodriguez","PG",75,168,2,22,80,13,"1225",329,114,133,0,0,0,0,22,5,0,"27",6,0,5,0,0,0,0,"113.9","107.8"
"Michael Ruffin","PF",81,246,8,32,11,0,"35",7,0,7,0,0,0,0,32,1,0,"5",1,0,1,0,0,0,0,"113.9","107.8"
"Nicolas Batum","SF",80,200,0,20,79,76,"1454",361,168,139,0,0,0,0,20,6,5,"63",9,4,7,0,0,0,0,"113.9","107.8"
"Travis Outlaw","SF",81,210,5,24,81,6,"2246",850,236,168,0,0,0,0,24,6,0,"170",66,16,10,0,0,0,0,"113.9","107.8"
"Channing Frye","PF",83,248,3,25,63,1,"746",267,33,106,0,0,0,0,25,4,0,"36",14,0,5,0,0,0,0,"113.9","107.8"
"Steve Blake","PG",75,172,5,28,69,69,"2188",647,328,126,0,0,0,0,28,6,6,"231",45,24,11,0,0,0,0,"113.9","107.8"
"Martell Webster","SF",79,210,3,22,1,0,"5",1,1,0,0,0,0,0,"113.9","107.8"
"Joel Przybilla","C",85,255,8,29,82,43,"1952",269,1,215,0,0,0,0,29,6,6,"162",18,0,21,0,0,0,0,"113.9","107.8"
"Brandon Roy","SG",78,215,2,24,78,78,"2903",1318,220,127,0,0,0,0,24,6,6,"238",122,17,15,0,0,0,0,"113.9","107.8"
"Ike Diogu","PF",80,250,3,25,19,0,"73",19,0,9,0,0,0,0,"113.9","107.8"
"LaMarcus Aldridge","PF",83,240,2,23,81,81,"3004",1243,28,207,0,0,0,0,23,6,6,"237",104,4,16,0,0,0,0,"113.9","107.8"
"Shavlik Randolph","PF",82,240,3,25,10,0,"37",13,1,4,0,0,0,0,"113.9","107.8"
