"","X","X.1","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"16",16,16,19871106,"Jeff Malone","Washington Bullets",1,0,"31:00",1,4,0,76,120,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"17",17,17,19871106,"Muggsy Bogues","Washington Bullets",1,0,"33:00",0,2,0,88,108,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"18",18,18,19871106,"Frank Johnson","Washington Bullets",0,0,"6:00",0,2,0,86,92,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"19",19,19,19871106,"Charles Jones","Washington Bullets",0,0,"3:00",0,2,0,0,120,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"20",20,20,19871106,"Moses Malone","Washington Bullets",1,0,"37:00",0,1,0,146,113,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"21",21,21,19871106,"Randy Wittman","Atlanta Hawks",1,0,"30:00",0,3,0,91,105,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"22",22,22,19871106,"John Williams","Washington Bullets",0,0,"17:00",0,5,0,73,115,"Atlanta Hawks","Washington Bullets","Atlanta Hawks",NA,NA,NA
"23",23,23,19871106,"Charles Davis","Milwaukee Bucks",0,0,"4:00",0,0,0,0,130,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"24",24,24,19871106,"Fred Roberts","Boston Celtics",1,0,"29:00",0,4,0,166,109,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"25",25,25,19871106,"Paul Mokeski","Milwaukee Bucks",0,0,"8:00",0,4,0,89,117,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"26",26,26,19871106,"Jerry Reynolds","Milwaukee Bucks",1,0,"34:00",1,4,0,89,122,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"27",27,27,19871106,"Craig Hodges","Milwaukee Bucks",0,0,"18:00",3,2,0,83,125,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"28",28,28,19871106,"Dennis Johnson","Boston Celtics",1,0,"29:00",0,4,0,116,112,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"29",29,29,19871106,"John Lucas","Milwaukee Bucks",0,0,"20:00",1,2,0,68,121,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"30",30,30,19871106,"Mark Acres","Boston Celtics",0,0,"9:00",0,1,0,139,108,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"31",31,31,19871106,"Danny Ainge","Boston Celtics",1,0,"33:00",6,1,0,137,108,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"32",32,32,19871106,"Brad Lohaus","Boston Celtics",0,0,"13:00",1,3,0,111,106,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"33",33,33,19871106,"Robert Parish","Boston Celtics",1,0,"37:00",0,4,0,104,106,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"34",34,34,19871106,"Reggie Lewis","Boston Celtics",0,0,"5:00",0,0,0,98,112,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"35",35,35,19871106,"John Stroeder","Milwaukee Bucks",0,0,"2:00",0,0,0,0,130,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"36",36,36,19871106,"Jack Sikma","Milwaukee Bucks",1,0,"42:00",0,3,0,91,121,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"37",37,37,19871106,"Darren Daye","Boston Celtics",0,0,"8:00",0,2,0,158,97,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"38",38,38,19871106,"Pace Mannion","Milwaukee Bucks",0,0,"14:00",0,2,0,194,125,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"39",39,39,19871106,"Larry Bird","Boston Celtics",1,0,"37:00",2,1,0,118,94,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"40",40,40,19871106,"Randy Breuer","Milwaukee Bucks",1,0,"34:00",0,2,0,114,121,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"41",41,41,19871106,"Terry Cummings","Milwaukee Bucks",1,0,"38:00",0,5,0,122,120,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"42",42,42,19871106,"Conner Henry","Boston Celtics",0,0,"17:00",2,2,0,109,105,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"43",43,43,19871106,"Jerry Sichting","Boston Celtics",0,0,"12:00",0,0,0,52,104,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"44",44,44,19871106,"Greg Kite","Boston Celtics",0,0,"11:00",0,4,0,79,110,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"45",45,45,19871106,"Paul Pressey","Milwaukee Bucks",1,0,"26:00",2,4,0,143,121,"Boston Celtics","Milwaukee Bucks","Boston Celtics",NA,NA,NA
"46",46,46,19871106,"Mark Eaton","Utah Jazz",1,0,"35:00",0,1,0,81,88,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"47",47,47,19871106,"Thurl Bailey","Utah Jazz",1,0,"30:00",0,4,0,82,89,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"48",48,48,19871106,"Bob Hansen","Utah Jazz",0,0,"16:00",1,2,0,43,88,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"49",49,49,19871106,"Carey Scurry","Utah Jazz",0,0,"12:00",0,3,0,76,91,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"50",50,50,19871106,"Derek Harper","Dallas Mavericks",1,0,"35:00",3,4,0,86,87,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"51",51,51,19871106,"John Stockton","Utah Jazz",0,0,"25:00",1,2,0,129,98,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"52",52,52,19871106,"Marc Iavaroni","Utah Jazz",0,0,"16:00",0,3,0,40,94,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"53",53,53,19871106,"Uwe Blab","Dallas Mavericks",0,0,"16:00",0,3,0,77,97,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"54",54,54,19871106,"Rolando Blackman","Dallas Mavericks",1,0,"37:00",0,1,0,120,93,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"55",55,55,19871106,"Darrell Griffith","Utah Jazz",1,0,"32:00",3,4,0,87,91,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"56",56,56,19871106,"Steve Alford","Dallas Mavericks",0,0,"13:00",1,3,0,109,84,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"57",57,57,19871106,"Rickey Green","Utah Jazz",1,0,"24:00",1,4,0,74,95,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"58",58,58,19871106,"James Donaldson","Dallas Mavericks",1,0,"30:00",0,4,0,85,93,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"59",59,59,19871106,"Melvin Turpin","Utah Jazz",0,0,"14:00",0,2,0,126,98,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"60",60,60,19871106,"Bill Wennington","Dallas Mavericks",0,0,"1:00",0,0,0,0,99,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"61",61,61,19871106,"Karl Malone","Utah Jazz",1,0,"36:00",0,4,0,99,98,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"62",62,62,19871106,"Mark Aguirre","Dallas Mavericks",1,0,"38:00",1,1,0,104,91,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"63",63,63,19871106,"Detlef Schrempf","Dallas Mavericks",0,0,"15:00",0,3,0,88,90,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"64",64,64,19871106,"Sam Perkins","Dallas Mavericks",1,0,"29:00",1,5,0,73,89,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"65",65,65,19871106,"Roy Tarpley","Dallas Mavericks",0,0,"26:00",0,3,0,77,86,"Dallas Mavericks","Utah Jazz","Dallas Mavericks",NA,NA,NA
"66",66,66,19871106,"Martin Nessley","Los Angeles Clippers",0,0,"8:00",0,2,0,62,118,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"67",67,67,19871106,"Norris Coleman","Los Angeles Clippers",0,0,"18:00",0,3,0,59,121,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"68",68,68,19871106,"Fat Lever","Denver Nuggets",1,0,"25:00",0,2,0,93,65,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"69",69,69,19871106,"Calvin Natt","Denver Nuggets",1,0,"21:00",0,1,0,148,89,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"70",70,70,19871106,"Larry Drew","Los Angeles Clippers",1,0,"40:00",3,1,0,86,122,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"71",71,71,19871106,"Ken Norman","Los Angeles Clippers",0,0,"12:00",0,3,0,95,114,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"72",72,72,19871106,"T.R. Dunn","Denver Nuggets",0,0,"15:00",0,5,0,82,81,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"73",73,73,19871106,"Benoit Benjamin","Los Angeles Clippers",1,0,"21:00",0,1,0,42,117,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"74",74,74,19871106,"Blair Rasmussen","Denver Nuggets",0,0,"20:00",0,2,0,137,75,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"75",75,75,19871106,"Alex English","Denver Nuggets",1,0,"23:00",0,1,0,110,85,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"76",76,76,19871106,"Jay Vincent","Denver Nuggets",0,0,"25:00",0,3,0,90,84,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"77",77,77,19871106,"Darnell Valentine","Los Angeles Clippers",0,0,"8:00",0,3,0,25,125,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"78",78,78,19871106,"Joe Wolf","Los Angeles Clippers",1,0,"21:00",0,6,0,72,118,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"79",79,79,19871106,"Earl Cureton","Los Angeles Clippers",0,0,"16:00",0,4,0,62,121,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"80",80,80,19871106,"Otis Smith","Denver Nuggets",1,0,"25:00",0,4,0,104,84,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"81",81,81,19871106,"Danny Schayes","Denver Nuggets",0,0,"14:00",0,3,0,130,78,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"82",82,82,19871106,"Wayne Cooper","Denver Nuggets",1,0,"19:00",0,2,0,168,69,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"83",83,83,19871106,"Michael Adams","Denver Nuggets",0,0,"24:00",1,0,0,153,81,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"84",84,84,19871106,"Reggie Williams","Los Angeles Clippers",0,0,"33:00",4,2,0,83,123,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"85",85,85,19871106,"Bill Hanzlik","Denver Nuggets",0,0,"15:00",0,0,0,144,79,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"86",86,86,19871106,"Tod Murphy","Los Angeles Clippers",0,0,"19:00",0,2,0,194,120,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"87",87,87,19871106,"Quintin Dailey","Los Angeles Clippers",1,0,"17:00",0,3,0,101,114,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"88",88,88,19871106,"Andre Moore","Denver Nuggets",0,0,"14:00",0,2,0,112,80,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"89",89,89,19871106,"Mike Woodson","Los Angeles Clippers",1,0,"27:00",0,3,0,76,116,"Denver Nuggets","Los Angeles Clippers","Denver Nuggets",NA,NA,NA
"90",90,90,19871106,"Rick Mahorn","Detroit Pistons",1,0,"22:00",0,4,0,83,93,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"91",91,91,19871106,"Kenny Walker","New York Knicks",1,0,"27:00",0,3,0,72,100,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"92",92,92,19871106,"Gerald Henderson","New York Knicks",1,0,"15:00",1,5,0,79,106,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"93",93,93,19871106,"Vinnie Johnson","Detroit Pistons",0,0,"22:00",0,3,0,119,94,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"94",94,94,19871106,"Adrian Dantley","Detroit Pistons",1,0,"13:00",0,3,0,64,94,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"95",95,95,19871106,"Pat Cummings","New York Knicks",1,0,"19:00",0,4,0,112,102,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"96",96,96,19871106,"Mark Jackson","New York Knicks",0,0,"19:00",0,2,0,105,97,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"97",97,97,19871106,"Ralph Lewis","Detroit Pistons",0,0,"1:00",0,0,0,0,79,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"98",98,98,19871106,"Rory Sparrow","New York Knicks",0,0,"23:00",0,4,0,60,96,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"99",99,99,19871106,"Joe Dumars","Detroit Pistons",1,0,"36:00",0,4,0,111,92,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"100",100,100,19871106,"Gerald Wilkins","New York Knicks",1,0,"35:00",1,5,0,95,104,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"101",101,101,19871106,"Dennis Rodman","Detroit Pistons",0,0,"35:00",0,2,0,112,85,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"102",102,102,19871106,"Ray Tolbert","New York Knicks",0,0,"20:00",0,5,0,154,105,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"103",103,103,19871106,"Patrick Ewing","New York Knicks",1,0,"23:00",1,5,0,89,91,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"104",104,104,19871106,"William Bedford","Detroit Pistons",0,0,"4:00",0,2,0,0,96,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"105",105,105,19871106,"Bill Cartwright","New York Knicks",0,0,"24:00",0,2,0,39,102,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"106",106,106,19871106,"Trent Tucker","New York Knicks",0,0,"4:00",0,2,0,0,107,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"107",107,107,19871106,"Bill Laimbeer","Detroit Pistons",1,0,"38:00",0,2,0,133,84,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"108",108,108,19871106,"John Salley","Detroit Pistons",0,0,"32:00",0,4,0,129,85,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"109",109,109,19871106,"Sidney Green","New York Knicks",0,0,"11:00",0,2,0,97,94,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"110",110,110,19871106,"Chris McNealy","New York Knicks",0,0,"20:00",0,4,0,79,102,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"111",111,111,19871106,"Isiah Thomas","Detroit Pistons",1,0,"37:00",2,5,0,77,91,"Detroit Pistons","New York Knicks","Detroit Pistons",NA,NA,NA
"112",112,112,19871106,"Steve Harris","Houston Rockets",1,0,"14:00",0,4,0,78,100,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"113",113,113,19871106,"Walter Berry","San Antonio Spurs",1,0,"28:00",0,3,0,111,103,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"114",114,114,19871106,"World B. Free","Houston Rockets",0,0,"26:00",1,1,0,101,103,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"115",115,115,19871106,"Frank Brickowski","San Antonio Spurs",1,0,"39:00",1,4,0,69,102,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"116",116,116,19871106,"Dave Greenwood","San Antonio Spurs",1,0,"43:00",0,2,0,91,104,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"117",117,117,19871106,"Andre Turner","Houston Rockets",0,0,"8:00",1,0,0,55,105,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"118",118,118,19871106,"Rodney McCray","Houston Rockets",0,0,"32:00",0,1,0,120,96,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"119",119,119,19871106,"Purvis Short","Houston Rockets",0,0,"7:00",0,1,0,43,91,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"120",120,120,19871106,"Nate Blackwell","San Antonio Spurs",0,0,"7:00",0,1,0,28,110,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"121",121,121,19871106,"Johnny Dawkins","San Antonio Spurs",1,0,"40:00",1,3,0,112,104,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"122",122,122,19871106,"Allen Leavell","Houston Rockets",1,0,"21:00",1,1,0,105,93,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"123",123,123,19871106,"Greg Anderson","San Antonio Spurs",0,0,"20:00",0,5,0,109,103,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"124",124,124,19871106,"Lester Conner","Houston Rockets",0,0,"21:00",2,1,0,83,93,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"125",125,125,19871106,"Alvin Robertson","San Antonio Spurs",1,0,"37:00",0,5,0,99,93,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"126",126,126,19871106,"Buck Johnson","Houston Rockets",1,0,"15:00",0,1,0,121,97,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"127",127,127,19871106,"Ralph Sampson","Houston Rockets",1,0,"43:00",0,2,0,96,92,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"128",128,128,19871106,"Johnny Moore","San Antonio Spurs",0,0,"12:00",0,0,0,38,100,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"129",129,129,19871106,"Cedric Maxwell","Houston Rockets",0,0,"16:00",0,3,0,78,103,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"130",130,130,19871106,"Hakeem Olajuwon","Houston Rockets",1,0,"37:00",0,5,0,131,93,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"131",131,131,19871106,"Petur Gudmundsson","San Antonio Spurs",0,0,"14:00",0,2,0,149,102,"Houston Rockets","San Antonio Spurs","Houston Rockets",NA,NA,NA
"132",132,132,19871106,"Sam Vincent","Seattle SuperSonics",0,0,"26:00",0,0,0,74,116,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"133",133,133,19871106,"Tom Chambers","Seattle SuperSonics",1,0,"32:00",2,5,0,93,103,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"134",134,134,19871106,"James Worthy","Los Angeles Lakers",1,0,"34:00",0,5,0,91,105,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"135",135,135,19871106,"Nate McMillan","Seattle SuperSonics",1,0,"19:00",0,3,0,115,95,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"136",136,136,19871106,"Kurt Rambis","Los Angeles Lakers",0,0,"4:00",0,1,0,28,111,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"137",137,137,19871106,"Russ Schoene","Seattle SuperSonics",0,0,"15:00",0,4,0,128,102,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"138",138,138,19871106,"Mychal Thompson","Los Angeles Lakers",0,0,"27:00",0,2,0,119,105,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"139",139,139,19871106,"Olden Polynice","Seattle SuperSonics",0,0,"10:00",0,2,0,134,108,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"140",140,140,19871106,"Clemon Johnson","Seattle SuperSonics",0,0,"12:00",0,2,0,118,107,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"141",141,141,19871106,"Dale Ellis","Seattle SuperSonics",1,0,"31:00",1,4,0,96,112,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"142",142,142,19871106,"Byron Scott","Los Angeles Lakers",1,0,"27:00",2,0,0,54,103,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"143",143,143,19871106,"A.C. Green","Los Angeles Lakers",1,0,"41:00",0,3,0,121,100,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"144",144,144,19871106,"Magic Johnson","Los Angeles Lakers",1,0,"38:00",0,4,0,111,95,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"145",145,145,19871106,"Danny Young","Seattle SuperSonics",0,0,"7:00",1,1,0,134,99,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"146",146,146,19871106,"Derrick McKey","Seattle SuperSonics",0,0,"24:00",0,4,0,132,116,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"147",147,147,19871106,"Kevin Williams","Seattle SuperSonics",0,0,"17:00",0,5,0,75,98,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"148",148,148,19871106,"Michael Cooper","Los Angeles Lakers",0,0,"28:00",3,4,0,160,107,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"149",149,149,19871106,"Alton Lister","Seattle SuperSonics",1,0,"20:00",0,2,0,105,112,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"150",150,150,19871106,"Kareem Abdul-Jabbar","Los Angeles Lakers",1,0,"38:00",0,1,0,107,104,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"151",151,151,19871106,"Xavier McDaniel","Seattle SuperSonics",1,0,"27:00",2,3,0,92,101,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"152",152,152,19871106,"Jeff Lamp","Los Angeles Lakers",0,0,"3:00",0,0,0,0,112,"Los Angeles Lakers","Seattle SuperSonics","Los Angeles Lakers",NA,NA,NA
"153",153,153,19871106,"John Bagley","New Jersey Nets",0,0,"20:00",1,0,0,102,113,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"154",154,154,19871106,"Dallas Comegys","New Jersey Nets",0,0,"1:00",0,0,0,0,113,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"155",155,155,19871106,"Dell Curry","Cleveland Cavaliers",0,0,"25:00",0,3,0,106,102,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"156",156,156,19871106,"Ron Harper","Cleveland Cavaliers",1,0,"41:00",1,4,0,92,97,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"157",157,157,19871106,"Kevin Johnson","Cleveland Cavaliers",0,0,"13:00",0,2,0,106,111,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"158",158,158,19871106,"Ben Coleman","New Jersey Nets",0,0,"9:00",0,3,0,78,103,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
"159",159,159,19871106,"Mark West","Cleveland Cavaliers",1,0,"22:00",0,4,0,85,87,"New Jersey Nets","Cleveland Cavaliers","Cleveland Cavaliers",NA,NA,NA
