"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Carlos Arroyo","PG",74,202,3,25,40,0,"706",197,12,76,0,0,0,0,25,19,0,"150",45,1,19,0,0,0,0,"105.6","101.2"
"Darvin Ham","SF",79,220,7,31,47,0,"275",37,0,39,0,0,0,0,31,14,0,"24",3,0,2,0,0,0,0,"105.6","101.2"
"Horace Jenkins","PG",73,180,0,30,15,0,"104",45,9,6,0,0,0,0,"105.6","101.2"
"Anthony Goldwire","PG",73,182,6,33,9,0,"55",15,9,5,0,0,0,0,"105.6","101.2"
"Derrick Coleman","C",82,230,14,37,5,0,"50",14,2,6,0,0,0,0,"105.6","101.2"
"Smush Parker","PG",76,190,1,23,11,1,"110",28,9,13,0,0,0,0,"105.6","101.2"
"Tayshaun Prince","SF",81,215,2,24,82,82,"3039",963,138,161,0,0,0,0,24,25,25,"1023",307,60,50,0,0,0,0,"105.6","101.2"
"Rasheed Wallace","PF",82,225,9,30,79,79,"2687",1062,236,236,0,0,0,0,30,25,25,"826",310,86,95,0,0,0,0,"105.6","101.2"
"Elden Campbell","C",83,215,14,36,30,1,"340",116,2,47,0,0,0,0,36,10,0,"57",13,0,13,0,0,0,0,"105.6","101.2"
"Carlos Delfino","SG",78,230,0,22,30,4,"459",117,35,44,0,0,0,0,"105.6","101.2"
"Lindsey Hunter","SG",74,170,11,34,76,3,"1144",302,84,125,0,0,0,0,34,25,0,"374",113,36,45,0,0,0,0,"105.6","101.2"
"Ronald Dupree","SF",79,209,1,24,47,0,"472",127,2,60,0,0,0,0,24,14,0,"38",7,0,6,0,0,0,0,"105.6","101.2"
"Antonio McDyess","PF",81,220,8,30,77,8,"1797",598,1,204,0,0,0,0,30,25,0,"494",181,0,78,0,0,0,0,"105.6","101.2"
"Richard Hamilton","SG",78,185,5,26,76,76,"2926",1160,118,232,0,0,0,0,26,25,25,"1079",437,34,79,0,0,0,0,"105.6","101.2"
"Chauncey Billups","PG",75,202,7,28,80,80,"2866",913,387,194,0,0,0,0,28,25,25,"985",339,126,71,0,0,0,0,"105.6","101.2"
"Ben Wallace","C",81,240,8,30,74,74,"2671",651,9,159,0,0,0,0,30,25,25,"979",212,4,65,0,0,0,0,"105.6","101.2"
"Carmelo Anthony","SF",80,230,1,20,75,75,"2608",1230,158,229,0,0,0,0,20,5,5,"180",83,1,20,0,0,0,0,"106.0","103.9"
"Eduardo Najera","PF",80,240,4,28,26,0,"575",150,6,77,0,0,0,0,28,2,0,"13",2,0,1,0,0,0,0,"106.0","103.9"
"Mark Pope","PF",82,235,5,32,9,0,"27",6,0,5,0,0,0,0,"106.0","103.9"
"Andre Miller","PG",74,200,5,28,82,82,"2852",895,39,204,0,0,0,0,28,5,5,"184",66,4,22,0,0,0,0,"106.0","103.9"
"Kenyon Martin","PF",81,234,4,27,70,67,"2272",907,12,228,0,0,0,0,27,5,5,"164",58,1,22,0,0,0,0,"106.0","103.9"
"Earl Boykins","PG",65,135,6,28,82,5,"2162",824,166,122,0,0,0,0,28,5,1,"152",68,7,13,0,0,0,0,"106.0","103.9"
"Greg Buckner","SG",76,210,5,28,70,41,"1522",303,121,169,0,0,0,0,28,5,2,"100",18,9,14,0,0,0,0,"106.0","103.9"
"Nikoloz Tskitishvili","PF",84,225,2,21,23,0,"158",51,7,24,0,0,0,0,"106.0","103.9"
"Luis Flores","PG",74,200,0,23,1,0,"4",2,1,0,0,0,0,0,"106.0","103.9"
"Bryon Russell","SF",79,225,11,34,70,2,"1026",252,149,130,0,0,0,0,34,3,0,"9",1,1,0,0,0,0,0,"106.0","103.9"
"DerMarr Johnson","SG",81,201,3,24,71,40,"1232",371,148,140,0,0,0,0,24,4,2,"78",20,11,9,0,0,0,0,"106.0","103.9"
"Francisco Elson","C",84,235,1,28,67,11,"939",216,3,129,0,0,0,0,28,1,0,"6",1,0,0,0,0,0,0,"106.0","103.9"
"Nene Hilario","C",83,260,2,22,55,18,"1317",386,2,167,0,0,0,0,22,5,0,"101",21,0,16,0,0,0,0,"106.0","103.9"
"Wesley Person","SF",78,195,10,33,25,0,"461",169,68,24,0,0,0,0,33,4,0,"54",14,8,0,0,0,0,0,"106.0","103.9"
"Voshon Lenard","SG",76,205,9,31,3,1,"54",26,12,2,0,0,0,0,"106.0","103.9"
"Rodney White","SF",81,238,3,24,42,2,"531",227,44,51,0,0,0,0,"106.0","103.9"
"Marcus Camby","C",83,220,8,30,66,66,"2015",600,4,177,0,0,0,0,30,5,5,"184",41,0,18,0,0,0,0,"106.0","103.9"
"Brian Cook","C",81,234,1,24,72,0,"1087",422,199,139,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Chucky Atkins","PG",71,160,5,30,82,82,"2903",910,455,181,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Tierre Brown","PG",74,189,3,25,76,0,"1066",348,72,59,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Stanislav Medvedenko","PF",82,250,4,25,43,4,"423",156,1,64,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Brian Grant","C",81,254,10,32,69,8,"1136",209,0,175,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Jumaine Jones","SF",80,218,5,25,76,23,"1830",486,261,165,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Chris Mihm","C",84,265,4,25,75,75,"1870",552,2,237,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Caron Butler","SF",79,217,2,24,77,77,"2746",991,125,213,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Kareem Rush","SG",78,215,2,24,14,0,"91",20,10,7,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Sasha Vujacic","SG",79,193,0,20,35,3,"403",117,63,41,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Lamar Odom","PF",82,220,5,25,64,64,"2320",774,117,211,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Vlade Divac","C",85,243,15,36,15,0,"130",31,0,25,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Kobe Bryant","SG",78,200,8,26,66,66,"2689",1324,387,174,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
"Luke Walton","SF",80,235,1,24,61,5,"768",180,61,70,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"108.1","111.4"
